order_id,customer_id,order_date,product,quantity,unit_price
2001,101,2025-10-05,Laptop,1,1200
2002,102,2025-10-18,Mouse,2,25
2003,103,2025-11-02,Keyboard,1,80
2004,101,2025-11-20,Monitor,2,300
2005,104,2025-12-08,Laptop,1,1250
2006,102,2025-12-19,Mouse,3,25
2007,105,2026-01-03,Monitor,1,320
2008,103,2026-01-14,Keyboard,2,85
2009,101,2026-02-01,Laptop,1,1300
2010,104,2026-02-09,Monitor,2,310
2011,105,2026-02-17,Mouse,4,25
2012,102,2026-03-05,Keyboard,1,90
2013,103,2026-03-12,Laptop,1,1350
2014,101,2026-04-02,Monitor,1,320
